,title,start_time,end_time,word,stutter_type,
41,p000001s000001w000042,11.775,11.78,hot,n,
42,p000001s000001w000043,11.78,11.78,over,n,
43,p000001s000001w000044,11.78,11.83,there,n,
44,p000001s000001w000045,11.83,11.85,um,i,
45,p000001s000001w000046,11.85,11.88,the,n,
46,p000001s000001w000047,11.88,12.65,ice-cream,n,
47,p000001s000001w000048,12.65,12.875,M{x6},p,
48,p000001s000001w000049,12.875,12.955,MA,s,
49,p000001s000001w000050,12.955,12.955,MELTED.,s,
50,p000001s000001w000051,12.955,12.975,But,n,
51,p000001s000001w000052,12.975,12.985,my,n,
52,p000001s000001w000053,12.985,13.23,F,s,
53,p000001s000001w000054,13.23,18.335,FAVOUROTE,s,
54,p000001s000001w000055,18.335,20.95,part,n,
55,p000001s000001w000056,20.95,21.62,is,n,
56,p000001s000001w000057,21.62,21.62,when,n,
57,p000001s000001w000058,21.62,21.7,we,n,
58,p000001s000001w000059,21.7,22.045,went,n,
59,p000001s000001w000060,22.045,22.065,to,n,
60,p000001s000001w000061,22.065,22.525,this,n,
61,p000001s000001w000062,22.525,22.57,"um,",i,
62,p000001s000001w000063,22.57,25.795,water,n,
63,p000001s000001w000064,25.795,27.025,park,n,
64,p000001s000001w000065,27.025,27.4,and,n,
65,p000001s000001w000066,27.4,27.575,there,n,
66,p000001s000001w000067,27.575,30.13,was,n,
67,p000001s000001w000068,30.13,30.16,this,n,
68,p000001s000001w000069,30.16,30.16,big,n,
69,p000001s000001w000070,30.16,30.16,wave,n,
70,p000001s000001w000071,30.16,30.16,machine,n,alignment messed up
71,p000001s000001w000072,30.16,30.16,and,n,
72,p000001s000001w000073,30.16,30.16,one,n,
73,p000001s000001w000074,30.16,30.16,wave,n,
74,p000001s000001w000075,30.16,30.16,came,n,
75,p000001s000001w000076,30.16,30.16,every,n,
76,p000001s000001w000077,30.16,30.16,er,n,
77,p000001s000001w000078,30.16,30.16,one,n,
78,p000001s000001w000079,30.16,30.16,"second,",n,
79,p000001s000001w000080,30.16,30.16,er,i,
80,p000001s000001w000081,30.16,30.16,I,ph,
81,p000001s000001w000082,30.16,30.16,"mean,",ph,
82,p000001s000001w000083,30.16,30.16,I,ph,
83,p000001s000001w000084,30.16,30.16,mean,ph,
84,p000001s000001w000085,30.16,30.42,every,n,
85,p000001s000001w000086,30.42,32.79,five,n,
86,p000001s000001w000087,32.79,32.79,M,s,
87,p000001s000001w000088,32.79,32.79,M,s,
88,p000001s000001w000089,32.79,37.56,MINUTES,s,
89,p000001s000001w000090,37.56,39.53,and,n,
90,p000001s000001w000091,39.53,42,it,n,
91,p000001s000001w000092,42,43.22,was,n,
92,p000001s000001w000093,43.22,43.225,a,n,
93,p000001s000001w000094,43.225,43.225,big,n,
94,p000001s000001w000095,43.225,43.235,tidal,n,
95,p000001s000001w000096,43.235,43.255,wave,n,
96,p000001s000001w000097,43.255,43.255,and,n,
97,p000001s000001w000098,43.255,43.255,it,n,
98,p000001s000001w000099,43.255,48.465,went,n,
99,p000001s000001w000100,48.465,48.595,over,n,
100,p000001s000001w000101,48.595,48.795,my,n,
101,p000001s000001w000102,48.795,50.47,dad's,n,
102,p000001s000001w000103,50.47,50.47,"head,",n,
103,p000001s000001w000104,50.47,50.505,so,n,
104,p000001s000001w000105,50.505,50.505,it,n,
105,p000001s000001w000106,50.505,50.505,was,n,
106,p000001s000001w000107,50.505,50.505,really,n,
107,p000001s000001w000108,50.505,50.87,tall.,n,
108,p000001s000001w000109,50.87,50.88,"Um,",i,
109,p000001s000001w000110,50.88,50.9,"I,",s,
110,p000001s000001w000111,50.9,50.91,there,n,
111,p000001s000001w000112,50.91,53.05,was,n,
112,p000001s000001w000113,53.05,60.53,once,n,
113,p000001s000001w000114,60.53,61.845,when,n,
114,p000001s000001w000115,61.845,63.795,I,n,
115,p000001s000001w000116,63.795,65.03,was,n,
116,p000001s000001w000117,65.03,65.145,taking,n,
117,p000001s000001w000118,65.145,65.145,"Laddy,",n,
118,p000001s000001w000119,65.145,65.145,a,n,
119,p000001s000001w000120,65.145,65.145,"dog,",n,
120,p000001s000001w000121,65.145,65.145,out,n,wut
121,p000001s000001w000122,65.145,65.145,for,n,
122,p000001s000001w000123,65.145,65.145,a,n,
123,p000001s000001w000124,65.145,65.145,walk,n,
124,p000001s000001w000125,65.145,65.15,and,n,
125,p000001s000001w000126,65.15,65.15,"we,",n,
126,p000001s000001w000127,65.15,65.15,and,n,
127,p000001s000001w000128,65.15,65.15,then,n,
128,p000001s000001w000129,65.15,65.26,we,n,
129,p000001s000001w000130,65.26,66.325,saw,n,
130,p000001s000001w000131,66.325,66.595,this,n,
131,p000001s000001w000132,66.595,66.615,big,n,
132,p000001s000001w000133,66.615,66.625,"hornet,",n,
133,p000001s000001w000134,66.625,66.625,well,n,
134,p000001s000001w000135,66.625,66.625,it,n,
135,p000001s000001w000136,66.625,66.625,wasn't,n,
136,p000001s000001w000137,66.625,66.625,a,n,
137,p000001s000001w000138,66.625,66.63,"hornet,",n,
138,p000001s000001w000139,66.63,67.275,it,n,
139,p000001s000001w000140,67.275,71.33,was,n,
140,p000001s000001w000141,71.33,71.935,CH,s,
141,p000001s000001w000142,71.935,77.075,TWICE,s,
142,p000001s000001w000143,77.075,80.185,as,n,
143,p000001s000001w000144,80.185,81.92,big,n,
144,p000001s000001w000145,81.92,84.735,as,n,
145,p000001s000001w000146,84.735,84.735,a,n,
146,p000001s000001w000147,84.735,84.805,hornet.,n,
147,p000001s000001w000148,84.805,84.83,And,n,
148,p000001s000001w000149,84.83,84.83,it,n,
149,p000001s000001w000150,84.83,87.635,landed,n,
150,p000001s000001w000151,87.635,87.74,right,n,
151,p000001s000001w000152,87.74,87.74,in,n,
152,p000001s000001w000153,87.74,87.925,F,s,
153,p000001s000001w000154,87.925,87.925,F,s,
154,p000001s000001w000155,87.925,87.95,FRONT,s,
155,p000001s000001w000156,87.95,87.95,of,n,
156,p000001s000001w000157,87.95,87.95,"LLLADDY,",s,
157,p000001s000001w000158,87.95,87.95,the,n,
158,p000001s000001w000159,87.95,87.95,"dog,",n,
159,p000001s000001w000160,87.95,87.95,and,n,
160,p000001s000001w000161,87.95,87.96,we,n,
161,p000001s000001w000162,87.96,87.99,"um,",i,
162,p000001s000001w000163,87.99,87.99,I,n,
163,p000001s000001w000164,87.99,88.465,just,n,
164,p000001s000001w000165,88.465,89.295,ran,n,
165,p000001s000001w000166,89.295,89.445,up,n,
166,p000001s000001w000167,89.445,89.495,the,n,
167,p000001s000001w000168,89.495,89.495,hill,n,
168,p000001s000001w000169,89.495,89.495,and,n,
169,p000001s000001w000170,89.495,89.495,LL,s,
170,p000001s000001w000171,89.495,89.495,LADDY,s,
171,p000001s000001w000172,89.495,91.09,just,n,
172,p000001s000001w000173,91.09,92.65,sat,n,
173,p000001s000001w000174,92.65,95.99,there,n,
174,p000001s000001w000175,95.99,96.07,puzzled.,n,
175,p000001s000001w000176,96.07,96.07,"Um,",i,
176,p000001s000001w000177,96.07,96.245,when,n,
177,p000001s000001w000178,96.245,96.31,I,n,
178,p000001s000001w000179,96.31,96.395,got,n,
179,p000001s000001w000180,96.395,96.575,to,n,
180,p000001s000001w000181,96.575,96.96,the,n,
181,p000001s000001w000182,96.96,97.01,car,n,
182,p000001s000001w000183,97.01,97.01,park,n,
183,p000001s000001w000184,97.01,97.045,I,n,
184,p000001s000001w000185,97.045,98.8,realised,n,
185,p000001s000001w000186,98.8,98.8,I,n,
186,p000001s000001w000187,98.8,98.935,hadn't,n,
187,p000001s000001w000188,98.935,99.565,had,n,
188,p000001s000001w000189,99.565,99.57,L,s,
189,p000001s000001w000190,99.57,100.53,LADDY,s,
190,p000001s000001w000191,100.53,100.53,with,n,
191,p000001s000001w000192,100.53,100.53,me,n,
192,p000001s000001w000193,100.53,100.53,and,n,
193,p000001s000001w000194,100.53,100.535,he,n,
194,p000001s000001w000195,100.535,102.375,was,n,
195,p000001s000001w000196,102.375,102.635,still,n,
196,p000001s000001w000197,102.635,102.64,down,n,
197,p000001s000001w000198,102.64,102.875,there,n,
198,p000001s000001w000199,102.875,105.135,with,n,
199,p000001s000001w000200,105.135,105.5,that,n,
200,p000001s000001w000201,105.5,105.57,thing.,n,
201,p000001s000001w000202,105.57,107.94,So,n,
202,p000001s000001w000203,107.94,107.94,I,n,
203,p000001s000001w000204,107.94,108.025,had,n,
204,p000001s000001w000205,108.025,108.025,to,n,
205,p000001s000001w000206,108.025,108.025,WALK,w,
206,p000001s000001w000207,108.025,108.025,WALK,w,
207,p000001s000001w000208,108.025,108.025,bravely,n,
208,p000001s000001w000209,108.025,108.025,down,n,
209,p000001s000001w000210,108.025,108.025,there,n,
210,p000001s000001w000211,108.025,108.025,and,n,
211,p000001s000001w000212,108.025,108.025,get,n,
212,p000001s000001w000213,108.025,108.025,him,n,
213,p000001s000001w000214,108.025,108.025,again.,n,
214,p000001s000001w000215,108.025,108.025,"Um,",i,
215,p000001s000001w000216,108.025,108.025,we,n,
216,p000001s000001w000217,108.025,112.875,also,n,
217,p000001s000001w000218,112.875,114.02,SSAwam,s,
218,p000001s000001w000219,114.02,114.02,in,n,
219,p000001s000001w000220,114.02,114.02,the,n,
220,p000001s000001w000221,114.02,121.52,lake.,n,
